"","Entity","Code","Year","type","number"
"206","World","OWID_WRL",1893,"Number of countries where homosexuality is illlegal",179
"207","World","OWID_WRL",1894,"Number of countries where homosexuality is legal",22
"208","World","OWID_WRL",1894,"Number of countries where homosexuality is illlegal",179
"209","World","OWID_WRL",1895,"Number of countries where homosexuality is legal",22
"210","World","OWID_WRL",1895,"Number of countries where homosexuality is illlegal",179
"211","World","OWID_WRL",1896,"Number of countries where homosexuality is legal",22
"212","World","OWID_WRL",1896,"Number of countries where homosexuality is illlegal",179
"213","World","OWID_WRL",1897,"Number of countries where homosexuality is legal",22
"214","World","OWID_WRL",1897,"Number of countries where homosexuality is illlegal",179
"215","World","OWID_WRL",1898,"Number of countries where homosexuality is legal",22
"216","World","OWID_WRL",1898,"Number of countries where homosexuality is illlegal",179
"217","World","OWID_WRL",1899,"Number of countries where homosexuality is legal",23
"218","World","OWID_WRL",1899,"Number of countries where homosexuality is illlegal",178
"219","World","OWID_WRL",1900,"Number of countries where homosexuality is legal",23
"220","World","OWID_WRL",1900,"Number of countries where homosexuality is illlegal",178
"221","World","OWID_WRL",1901,"Number of countries where homosexuality is legal",23
"222","World","OWID_WRL",1901,"Number of countries where homosexuality is illlegal",178
"223","World","OWID_WRL",1902,"Number of countries where homosexuality is legal",23
"224","World","OWID_WRL",1902,"Number of countries where homosexuality is illlegal",178
"225","World","OWID_WRL",1903,"Number of countries where homosexuality is legal",23
"226","World","OWID_WRL",1903,"Number of countries where homosexuality is illlegal",178
"227","World","OWID_WRL",1904,"Number of countries where homosexuality is legal",23
"228","World","OWID_WRL",1904,"Number of countries where homosexuality is illlegal",178
"229","World","OWID_WRL",1905,"Number of countries where homosexuality is legal",23
"230","World","OWID_WRL",1905,"Number of countries where homosexuality is illlegal",178
"231","World","OWID_WRL",1906,"Number of countries where homosexuality is legal",23
"232","World","OWID_WRL",1906,"Number of countries where homosexuality is illlegal",178
"233","World","OWID_WRL",1907,"Number of countries where homosexuality is legal",23
"234","World","OWID_WRL",1907,"Number of countries where homosexuality is illlegal",178
"235","World","OWID_WRL",1908,"Number of countries where homosexuality is legal",23
"236","World","OWID_WRL",1908,"Number of countries where homosexuality is illlegal",178
"237","World","OWID_WRL",1909,"Number of countries where homosexuality is legal",23
"238","World","OWID_WRL",1909,"Number of countries where homosexuality is illlegal",178
"239","World","OWID_WRL",1910,"Number of countries where homosexuality is legal",23
"240","World","OWID_WRL",1910,"Number of countries where homosexuality is illlegal",178
"241","World","OWID_WRL",1911,"Number of countries where homosexuality is legal",23
"242","World","OWID_WRL",1911,"Number of countries where homosexuality is illlegal",178
"243","World","OWID_WRL",1912,"Number of countries where homosexuality is legal",23
"244","World","OWID_WRL",1912,"Number of countries where homosexuality is illlegal",178
"245","World","OWID_WRL",1913,"Number of countries where homosexuality is legal",23
"246","World","OWID_WRL",1913,"Number of countries where homosexuality is illlegal",178
"247","World","OWID_WRL",1914,"Number of countries where homosexuality is legal",23
"248","World","OWID_WRL",1914,"Number of countries where homosexuality is illlegal",178
"249","World","OWID_WRL",1915,"Number of countries where homosexuality is legal",23
"250","World","OWID_WRL",1915,"Number of countries where homosexuality is illlegal",178
"251","World","OWID_WRL",1916,"Number of countries where homosexuality is legal",23
"252","World","OWID_WRL",1916,"Number of countries where homosexuality is illlegal",178
"253","World","OWID_WRL",1917,"Number of countries where homosexuality is legal",23
"254","World","OWID_WRL",1917,"Number of countries where homosexuality is illlegal",178
"255","World","OWID_WRL",1918,"Number of countries where homosexuality is legal",23
"256","World","OWID_WRL",1918,"Number of countries where homosexuality is illlegal",178
"257","World","OWID_WRL",1919,"Number of countries where homosexuality is legal",23
"258","World","OWID_WRL",1919,"Number of countries where homosexuality is illlegal",178
"259","World","OWID_WRL",1920,"Number of countries where homosexuality is legal",23
"260","World","OWID_WRL",1920,"Number of countries where homosexuality is illlegal",178
"261","World","OWID_WRL",1921,"Number of countries where homosexuality is legal",23
"262","World","OWID_WRL",1921,"Number of countries where homosexuality is illlegal",178
"263","World","OWID_WRL",1922,"Number of countries where homosexuality is legal",23
"264","World","OWID_WRL",1922,"Number of countries where homosexuality is illlegal",178
"265","World","OWID_WRL",1923,"Number of countries where homosexuality is legal",23
"266","World","OWID_WRL",1923,"Number of countries where homosexuality is illlegal",178
"267","World","OWID_WRL",1924,"Number of countries where homosexuality is legal",24
"268","World","OWID_WRL",1924,"Number of countries where homosexuality is illlegal",177
"269","World","OWID_WRL",1925,"Number of countries where homosexuality is legal",24
"270","World","OWID_WRL",1925,"Number of countries where homosexuality is illlegal",177
"271","World","OWID_WRL",1926,"Number of countries where homosexuality is legal",24
"272","World","OWID_WRL",1926,"Number of countries where homosexuality is illlegal",177
"273","World","OWID_WRL",1927,"Number of countries where homosexuality is legal",24
"274","World","OWID_WRL",1927,"Number of countries where homosexuality is illlegal",177
"275","World","OWID_WRL",1928,"Number of countries where homosexuality is legal",24
"276","World","OWID_WRL",1928,"Number of countries where homosexuality is illlegal",177
"277","World","OWID_WRL",1929,"Number of countries where homosexuality is legal",24
"278","World","OWID_WRL",1929,"Number of countries where homosexuality is illlegal",177
"279","World","OWID_WRL",1930,"Number of countries where homosexuality is legal",24
"280","World","OWID_WRL",1930,"Number of countries where homosexuality is illlegal",177
"281","World","OWID_WRL",1931,"Number of countries where homosexuality is legal",24
"282","World","OWID_WRL",1931,"Number of countries where homosexuality is illlegal",177
"283","World","OWID_WRL",1932,"Number of countries where homosexuality is legal",26
"284","World","OWID_WRL",1932,"Number of countries where homosexuality is illlegal",175
"285","World","OWID_WRL",1933,"Number of countries where homosexuality is legal",27
"286","World","OWID_WRL",1933,"Number of countries where homosexuality is illlegal",174
"287","World","OWID_WRL",1934,"Number of countries where homosexuality is legal",28
"288","World","OWID_WRL",1934,"Number of countries where homosexuality is illlegal",173
"289","World","OWID_WRL",1935,"Number of countries where homosexuality is legal",28
"290","World","OWID_WRL",1935,"Number of countries where homosexuality is illlegal",173
"291","World","OWID_WRL",1936,"Number of countries where homosexuality is legal",28
"292","World","OWID_WRL",1936,"Number of countries where homosexuality is illlegal",173
"293","World","OWID_WRL",1937,"Number of countries where homosexuality is legal",29
"294","World","OWID_WRL",1937,"Number of countries where homosexuality is illlegal",172
"295","World","OWID_WRL",1938,"Number of countries where homosexuality is legal",29
"296","World","OWID_WRL",1938,"Number of countries where homosexuality is illlegal",172
"297","World","OWID_WRL",1939,"Number of countries where homosexuality is legal",29
"298","World","OWID_WRL",1939,"Number of countries where homosexuality is illlegal",172
"299","World","OWID_WRL",1940,"Number of countries where homosexuality is legal",32
"300","World","OWID_WRL",1940,"Number of countries where homosexuality is illlegal",169
"301","World","OWID_WRL",1941,"Number of countries where homosexuality is legal",32
"302","World","OWID_WRL",1941,"Number of countries where homosexuality is illlegal",169
"303","World","OWID_WRL",1942,"Number of countries where homosexuality is legal",33
"304","World","OWID_WRL",1942,"Number of countries where homosexuality is illlegal",168
"305","World","OWID_WRL",1943,"Number of countries where homosexuality is legal",33
"306","World","OWID_WRL",1943,"Number of countries where homosexuality is illlegal",168
"307","World","OWID_WRL",1944,"Number of countries where homosexuality is legal",34
"308","World","OWID_WRL",1944,"Number of countries where homosexuality is illlegal",167
"309","World","OWID_WRL",1945,"Number of countries where homosexuality is legal",35
"310","World","OWID_WRL",1945,"Number of countries where homosexuality is illlegal",166
"311","World","OWID_WRL",1946,"Number of countries where homosexuality is legal",35
"312","World","OWID_WRL",1946,"Number of countries where homosexuality is illlegal",166
"313","World","OWID_WRL",1947,"Number of countries where homosexuality is legal",35
"314","World","OWID_WRL",1947,"Number of countries where homosexuality is illlegal",166
"315","World","OWID_WRL",1948,"Number of countries where homosexuality is legal",35
"316","World","OWID_WRL",1948,"Number of countries where homosexuality is illlegal",166
"317","World","OWID_WRL",1949,"Number of countries where homosexuality is legal",35
"318","World","OWID_WRL",1949,"Number of countries where homosexuality is illlegal",166
"319","World","OWID_WRL",1950,"Number of countries where homosexuality is legal",36
"320","World","OWID_WRL",1950,"Number of countries where homosexuality is illlegal",165
"321","World","OWID_WRL",1951,"Number of countries where homosexuality is legal",37
"322","World","OWID_WRL",1951,"Number of countries where homosexuality is illlegal",164
"323","World","OWID_WRL",1952,"Number of countries where homosexuality is legal",37
"324","World","OWID_WRL",1952,"Number of countries where homosexuality is illlegal",164
"325","World","OWID_WRL",1953,"Number of countries where homosexuality is legal",38
"326","World","OWID_WRL",1953,"Number of countries where homosexuality is illlegal",163
"327","World","OWID_WRL",1954,"Number of countries where homosexuality is legal",40
"328","World","OWID_WRL",1954,"Number of countries where homosexuality is illlegal",161
"329","World","OWID_WRL",1955,"Number of countries where homosexuality is legal",40
"330","World","OWID_WRL",1955,"Number of countries where homosexuality is illlegal",161
"331","World","OWID_WRL",1956,"Number of countries where homosexuality is legal",40
"332","World","OWID_WRL",1956,"Number of countries where homosexuality is illlegal",161
"333","World","OWID_WRL",1957,"Number of countries where homosexuality is legal",41
"334","World","OWID_WRL",1957,"Number of countries where homosexuality is illlegal",160
"335","World","OWID_WRL",1958,"Number of countries where homosexuality is legal",41
"336","World","OWID_WRL",1958,"Number of countries where homosexuality is illlegal",160
"337","World","OWID_WRL",1959,"Number of countries where homosexuality is legal",41
"338","World","OWID_WRL",1959,"Number of countries where homosexuality is illlegal",160
"339","World","OWID_WRL",1960,"Number of countries where homosexuality is legal",46
"340","World","OWID_WRL",1960,"Number of countries where homosexuality is illlegal",155
"341","World","OWID_WRL",1961,"Number of countries where homosexuality is legal",51
"342","World","OWID_WRL",1961,"Number of countries where homosexuality is illlegal",150
"343","World","OWID_WRL",1962,"Number of countries where homosexuality is legal",54
"344","World","OWID_WRL",1962,"Number of countries where homosexuality is illlegal",147
"345","World","OWID_WRL",1963,"Number of countries where homosexuality is legal",55
"346","World","OWID_WRL",1963,"Number of countries where homosexuality is illlegal",146
"347","World","OWID_WRL",1964,"Number of countries where homosexuality is legal",55
"348","World","OWID_WRL",1964,"Number of countries where homosexuality is illlegal",146
"349","World","OWID_WRL",1965,"Number of countries where homosexuality is legal",55
"350","World","OWID_WRL",1965,"Number of countries where homosexuality is illlegal",146
"351","World","OWID_WRL",1966,"Number of countries where homosexuality is legal",55
"352","World","OWID_WRL",1966,"Number of countries where homosexuality is illlegal",146
"353","World","OWID_WRL",1967,"Number of countries where homosexuality is legal",59
"354","World","OWID_WRL",1967,"Number of countries where homosexuality is illlegal",142
"355","World","OWID_WRL",1968,"Number of countries where homosexuality is legal",60
"356","World","OWID_WRL",1968,"Number of countries where homosexuality is illlegal",141
"357","World","OWID_WRL",1969,"Number of countries where homosexuality is legal",62
"358","World","OWID_WRL",1969,"Number of countries where homosexuality is illlegal",139
"359","World","OWID_WRL",1970,"Number of countries where homosexuality is legal",62
"360","World","OWID_WRL",1970,"Number of countries where homosexuality is illlegal",139
"361","World","OWID_WRL",1971,"Number of countries where homosexuality is legal",65
"362","World","OWID_WRL",1971,"Number of countries where homosexuality is illlegal",136
"363","World","OWID_WRL",1972,"Number of countries where homosexuality is legal",66
"364","World","OWID_WRL",1972,"Number of countries where homosexuality is illlegal",135
"365","World","OWID_WRL",1973,"Number of countries where homosexuality is legal",67
"366","World","OWID_WRL",1973,"Number of countries where homosexuality is illlegal",134
"367","World","OWID_WRL",1974,"Number of countries where homosexuality is legal",67
"368","World","OWID_WRL",1974,"Number of countries where homosexuality is illlegal",134
"369","World","OWID_WRL",1975,"Number of countries where homosexuality is legal",68
"370","World","OWID_WRL",1975,"Number of countries where homosexuality is illlegal",133
"371","World","OWID_WRL",1976,"Number of countries where homosexuality is legal",70
"372","World","OWID_WRL",1976,"Number of countries where homosexuality is illlegal",131
"373","World","OWID_WRL",1977,"Number of countries where homosexuality is legal",73
"374","World","OWID_WRL",1977,"Number of countries where homosexuality is illlegal",128
"375","World","OWID_WRL",1978,"Number of countries where homosexuality is legal",73
"376","World","OWID_WRL",1978,"Number of countries where homosexuality is illlegal",128
"377","World","OWID_WRL",1979,"Number of countries where homosexuality is legal",75
"378","World","OWID_WRL",1979,"Number of countries where homosexuality is illlegal",126
"379","World","OWID_WRL",1980,"Number of countries where homosexuality is legal",76
"380","World","OWID_WRL",1980,"Number of countries where homosexuality is illlegal",125
"381","World","OWID_WRL",1981,"Number of countries where homosexuality is legal",78
"382","World","OWID_WRL",1981,"Number of countries where homosexuality is illlegal",123
"383","World","OWID_WRL",1982,"Number of countries where homosexuality is legal",78
"384","World","OWID_WRL",1982,"Number of countries where homosexuality is illlegal",123
"385","World","OWID_WRL",1983,"Number of countries where homosexuality is legal",79
"386","World","OWID_WRL",1983,"Number of countries where homosexuality is illlegal",122
"387","World","OWID_WRL",1984,"Number of countries where homosexuality is legal",79
"388","World","OWID_WRL",1984,"Number of countries where homosexuality is illlegal",122
"389","World","OWID_WRL",1985,"Number of countries where homosexuality is legal",79
"390","World","OWID_WRL",1985,"Number of countries where homosexuality is illlegal",122
"391","World","OWID_WRL",1986,"Number of countries where homosexuality is legal",80
"392","World","OWID_WRL",1986,"Number of countries where homosexuality is illlegal",121
"393","World","OWID_WRL",1987,"Number of countries where homosexuality is legal",80
"394","World","OWID_WRL",1987,"Number of countries where homosexuality is illlegal",121
"395","World","OWID_WRL",1988,"Number of countries where homosexuality is legal",81
"396","World","OWID_WRL",1988,"Number of countries where homosexuality is illlegal",120
"397","World","OWID_WRL",1989,"Number of countries where homosexuality is legal",82
"398","World","OWID_WRL",1989,"Number of countries where homosexuality is illlegal",119
